"time","heart_rate"
2013-06-08 08:19:05,NA
2013-06-08 08:19:06,NA
2013-06-08 08:19:07,NA
2013-06-08 08:19:08,NA
2013-06-08 08:19:09,NA
2013-06-08 08:19:10,NA
2013-06-08 08:19:11,181
2013-06-08 08:19:12,NA
2013-06-08 08:19:13,NA
2013-06-08 08:19:14,NA
2013-06-08 08:19:15,NA
2013-06-08 08:19:16,NA
2013-06-08 08:19:17,131
2013-06-08 08:19:18,NA
2013-06-08 08:19:19,NA
2013-06-08 08:19:20,NA
2013-06-08 08:19:21,NA
2013-06-08 08:19:22,NA
2013-06-08 08:19:23,NA
2013-06-08 08:19:24,NA
2013-06-08 08:19:25,NA
2013-06-08 08:19:26,NA
2013-06-08 08:19:27,NA
2013-06-08 08:19:28,NA
2013-06-08 08:19:29,NA
2013-06-08 08:19:30,NA
2013-06-08 08:19:31,NA
2013-06-08 08:19:32,NA
2013-06-08 08:19:33,NA
2013-06-08 08:19:34,NA
2013-06-08 08:19:35,NA
2013-06-08 08:19:36,NA
2013-06-08 08:19:37,NA
2013-06-08 08:19:38,NA
2013-06-08 08:19:39,NA
2013-06-08 08:19:40,NA
2013-06-08 08:19:41,142
2013-06-08 08:19:42,8
2013-06-08 08:19:43,NA
2013-06-08 08:19:44,NA
2013-06-08 08:19:45,NA
2013-06-08 08:19:46,NA
2013-06-08 08:19:47,NA
2013-06-08 08:19:48,NA
2013-06-08 08:19:49,NA
2013-06-08 08:19:50,NA
2013-06-08 08:19:51,NA
2013-06-08 08:19:52,NA
2013-06-08 08:19:53,NA
2013-06-08 08:19:54,NA
2013-06-08 08:19:54,NA
2013-06-08 08:19:55,NA
2013-06-08 08:19:56,NA
2013-06-08 08:19:57,NA
2013-06-08 08:19:58,NA
2013-06-08 08:19:59,NA
2013-06-08 08:20:00,NA
2013-06-08 08:20:01,101
2013-06-08 08:20:02,NA
2013-06-08 08:20:03,NA
2013-06-08 08:20:04,NA
2013-06-08 08:20:05,NA
2013-06-08 08:20:06,NA
2013-06-08 08:20:07,NA
2013-06-08 08:20:08,NA
2013-06-08 08:20:09,NA
